Word,Count,Transcription
once,1,recording_2023-05-30_18-45-32.txt
upon,2,recording_2023-05-30_18-45-32.txt
midnight,1,recording_2023-05-30_18-45-32.txt
i,6,recording_2023-05-30_18-45-32.txt
weary,1,recording_2023-05-30_18-45-32.txt
quaint,1,recording_2023-05-30_18-45-32.txt
curious,1,recording_2023-05-30_18-45-32.txt
of,3,recording_2023-05-30_18-45-32.txt
suddenly,1,recording_2023-05-30_18-45-32.txt
there,1,recording_2023-05-30_18-45-32.txt
came,1,recording_2023-05-30_18-45-32.txt
tapping,2,recording_2023-05-30_18-45-32.txt
as,1,recording_2023-05-30_18-45-32.txt
gently,1,recording_2023-05-30_18-45-32.txt
at,4,recording_2023-05-30_18-45-32.txt
tis,1,recording_2023-05-30_18-45-32.txt
only,1,recording_2023-05-30_18-45-32.txt
this,3,recording_2023-05-30_18-45-32.txt
more,3,recording_2023-05-30_18-45-32.txt
was,1,recording_2023-05-30_18-45-32.txt
in,4,recording_2023-05-30_18-45-32.txt
ghost,1,recording_2023-05-30_18-45-32.txt
floor,1,recording_2023-05-30_18-45-32.txt
lie,1,recording_2023-05-30_18-45-32.txt
tomorrow,2,recording_2023-05-30_18-45-32.txt
headset,1,recording_2023-05-30_18-45-32.txt
books,1,recording_2023-05-30_18-45-32.txt
surcease,1,recording_2023-05-30_18-45-32.txt
last,1,recording_2023-05-30_18-45-32.txt
lenoir,1,recording_2023-05-30_18-45-32.txt
rare,1,recording_2023-05-30_18-45-32.txt
maiden,1,recording_2023-05-30_18-45-32.txt
whose,1,recording_2023-05-30_18-45-32.txt
name,1,recording_2023-05-30_18-45-32.txt
lenore,1,recording_2023-05-30_18-45-32.txt
card,1,recording_2023-05-30_18-45-32.txt
feel,1,recording_2023-05-30_18-45-32.txt
where,1,recording_2023-05-30_18-45-32.txt
tires,1,recording_2023-05-30_18-45-32.txt
never,1,recording_2023-05-30_18-45-32.txt
felt,1,recording_2023-05-30_18-45-32.txt
before,1,recording_2023-05-30_18-45-32.txt
now,1,recording_2023-05-30_18-45-32.txt
steal,1,recording_2023-05-30_18-45-32.txt
heart,1,recording_2023-05-30_18-45-32.txt
stood,1,recording_2023-05-30_18-45-32.txt
entering,1,recording_2023-05-30_18-45-32.txt
entrance,2,recording_2023-05-30_18-45-32.txt
late,1,recording_2023-05-30_18-45-32.txt
is,1,recording_2023-05-30_18-45-32.txt
a,3,recording_2023-05-30_18-45-32.txt
dreary,1,recording_2023-05-30_18-45-32.txt
while,1,recording_2023-05-30_18-45-32.txt
pondered,1,recording_2023-05-30_18-45-32.txt
weak,1,recording_2023-05-30_18-45-32.txt
and,6,recording_2023-05-30_18-45-32.txt
over,1,recording_2023-05-30_18-45-32.txt
many,1,recording_2023-05-30_18-45-32.txt
volume,1,recording_2023-05-30_18-45-32.txt
forgotten,1,recording_2023-05-30_18-45-32.txt
lore,1,recording_2023-05-30_18-45-32.txt
well,1,recording_2023-05-30_18-45-32.txt
nodded,1,recording_2023-05-30_18-45-32.txt
nearly,1,recording_2023-05-30_18-45-32.txt
napping,1,recording_2023-05-30_18-45-32.txt
some,3,recording_2023-05-30_18-45-32.txt
rapping,2,recording_2023-05-30_18-45-32.txt
my,6,recording_2023-05-30_18-45-32.txt
chamber,4,recording_2023-05-30_18-45-32.txt
door,4,recording_2023-05-30_18-45-32.txt
visitor,3,recording_2023-05-30_18-45-32.txt
mother,1,recording_2023-05-30_18-45-32.txt
nothing,2,recording_2023-05-30_18-45-32.txt
remember,1,recording_2023-05-30_18-45-32.txt
bleak,1,recording_2023-05-30_18-45-32.txt
december,1,recording_2023-05-30_18-45-32.txt
each,1,recording_2023-05-30_18-45-32.txt
separate,1,recording_2023-05-30_18-45-32.txt
dying,1,recording_2023-05-30_18-45-32.txt
ember,1,recording_2023-05-30_18-45-32.txt
wrought,1,recording_2023-05-30_18-45-32.txt
its,1,recording_2023-05-30_18-45-32.txt
the,5,recording_2023-05-30_18-45-32.txt
you,1,recording_2023-05-30_18-45-32.txt
wish,1,recording_2023-05-30_18-45-32.txt
being,1,recording_2023-05-30_18-45-32.txt
your,1,recording_2023-05-30_18-45-32.txt
for,3,recording_2023-05-30_18-45-32.txt
sorrow,2,recording_2023-05-30_18-45-32.txt
radiant,1,recording_2023-05-30_18-45-32.txt
angels,1,recording_2023-05-30_18-45-32.txt
nameless,1,recording_2023-05-30_18-45-32.txt
here,1,recording_2023-05-30_18-45-32.txt
forever,2,recording_2023-05-30_18-45-32.txt
silkn,1,recording_2023-05-30_18-45-32.txt
side,1,recording_2023-05-30_18-45-32.txt
concert,1,recording_2023-05-30_18-45-32.txt
boston,1,recording_2023-05-30_18-45-32.txt
purple,1,recording_2023-05-30_18-45-32.txt
30,1,recording_2023-05-30_18-45-32.txt
me,2,recording_2023-05-30_18-45-32.txt
fantastic,1,recording_2023-05-30_18-45-32.txt
so,1,recording_2023-05-30_18-45-32.txt
that,1,recording_2023-05-30_18-45-32.txt
to,1,recording_2023-05-30_18-45-32.txt
bearing,1,recording_2023-05-30_18-45-32.txt
repeating,1,recording_2023-05-30_18-45-32.txt
one,1,recording_2023-05-30_18-45-32.txt
trading,1,recording_2023-05-30_18-45-32.txt
it,1,recording_2023-05-30_18-45-32.txt
