Word,Count,Transcription
new,2,small_talk_everyday_english.txt
mark,1,small_talk_everyday_english.txt
is,4,small_talk_everyday_english.txt
job,1,small_talk_everyday_english.txt
i,17,small_talk_everyday_english.txt
complain,1,small_talk_everyday_english.txt
really,9,small_talk_everyday_english.txt
love,3,small_talk_everyday_english.txt
am,3,small_talk_everyday_english.txt
working,2,small_talk_everyday_english.txt
are,1,small_talk_everyday_english.txt
friendly,1,small_talk_everyday_english.txt
helpful,1,small_talk_everyday_english.txt
feel,1,small_talk_everyday_english.txt
boss,1,small_talk_everyday_english.txt
hes,1,small_talk_everyday_english.txt
he,1,small_talk_everyday_english.txt
in,4,small_talk_everyday_english.txt
when,1,small_talk_everyday_english.txt
make,1,small_talk_everyday_english.txt
own,1,small_talk_everyday_english.txt
hours,1,small_talk_everyday_english.txt
leave,1,small_talk_everyday_english.txt
start,1,small_talk_everyday_english.txt
there,1,small_talk_everyday_english.txt
no,1,small_talk_everyday_english.txt
dress,1,small_talk_everyday_english.txt
wear,2,small_talk_everyday_english.txt
jeans,1,small_talk_everyday_english.txt
tshirt,1,small_talk_everyday_english.txt
even,1,small_talk_everyday_english.txt
shorts,1,small_talk_everyday_english.txt
summer,1,small_talk_everyday_english.txt
sounds,1,small_talk_everyday_english.txt
stand,1,small_talk_everyday_english.txt
wearing,1,small_talk_everyday_english.txt
suit,1,small_talk_everyday_english.txt
do,1,small_talk_everyday_english.txt
late,1,small_talk_everyday_english.txt
finishing,2,small_talk_everyday_english.txt
getting,1,small_talk_everyday_english.txt
run,1,small_talk_everyday_english.txt
theres,1,small_talk_everyday_english.txt
like,1,small_talk_everyday_english.txt
watching,1,small_talk_everyday_english.txt
drinking,1,small_talk_everyday_english.txt
sleeping,1,small_talk_everyday_english.txt
alert,1,small_talk_everyday_english.txt
im,1,small_talk_everyday_english.txt
night,1,small_talk_everyday_english.txt
owl,1,small_talk_everyday_english.txt
know,2,small_talk_everyday_english.txt
say,1,small_talk_everyday_english.txt
bird,1,small_talk_everyday_english.txt
catches,1,small_talk_everyday_english.txt
right,1,small_talk_everyday_english.txt
maybe,1,small_talk_everyday_english.txt
try,1,small_talk_everyday_english.txt
go,1,small_talk_everyday_english.txt
so,2,small_talk_everyday_english.txt
whats,1,small_talk_everyday_english.txt
how,2,small_talk_everyday_english.txt
your,1,small_talk_everyday_english.txt
going,2,small_talk_everyday_english.txt
to,4,small_talk_everyday_english.txt
be,2,small_talk_everyday_english.txt
honest,1,small_talk_everyday_english.txt
cant,2,small_talk_everyday_english.txt
the,7,small_talk_everyday_english.txt
company,1,small_talk_everyday_english.txt
that,1,small_talk_everyday_english.txt
for,2,small_talk_everyday_english.txt
my,4,small_talk_everyday_english.txt
coworkers,1,small_talk_everyday_english.txt
all,1,small_talk_everyday_english.txt
and,6,small_talk_everyday_english.txt
they,2,small_talk_everyday_english.txt
helped,1,small_talk_everyday_english.txt
me,2,small_talk_everyday_english.txt
welcome,1,small_talk_everyday_english.txt
its,1,small_talk_everyday_english.txt
a,6,small_talk_everyday_english.txt
energetic,1,small_talk_everyday_english.txt
fun,1,small_talk_everyday_english.txt
atmosphere,1,small_talk_everyday_english.txt
hilarious,1,small_talk_everyday_english.txt
flexible,1,small_talk_everyday_english.txt
allowed,1,small_talk_everyday_english.txt
come,1,small_talk_everyday_english.txt
want,2,small_talk_everyday_english.txt
can,3,small_talk_everyday_english.txt
also,1,small_talk_everyday_english.txt
early,6,small_talk_everyday_english.txt
if,2,small_talk_everyday_english.txt
real,2,small_talk_everyday_english.txt
code,1,small_talk_everyday_english.txt
either,1,small_talk_everyday_english.txt
wow,1,small_talk_everyday_english.txt
it,1,small_talk_everyday_english.txt
cool,1,small_talk_everyday_english.txt
everyday,1,small_talk_everyday_english.txt
which,1,small_talk_everyday_english.txt
you,4,small_talk_everyday_english.txt
prefer,2,small_talk_everyday_english.txt
or,1,small_talk_everyday_english.txt
enjoyed,1,small_talk_everyday_english.txt
morning,2,small_talk_everyday_english.txt
up,1,small_talk_everyday_english.txt
nothing,1,small_talk_everyday_english.txt
sunrise,1,small_talk_everyday_english.txt
while,1,small_talk_everyday_english.txt
coffee,1,small_talk_everyday_english.txt
opposite,1,small_talk_everyday_english.txt
most,1,small_talk_everyday_english.txt
evenings,1,small_talk_everyday_english.txt
well,1,small_talk_everyday_english.txt
what,1,small_talk_everyday_english.txt
worm,1,small_talk_everyday_english.txt
could,1,small_talk_everyday_english.txt
will,1,small_talk_everyday_english.txt
bed,1,small_talk_everyday_english.txt
little,1,small_talk_everyday_english.txt
earlier,1,small_talk_everyday_english.txt
tonight,1,small_talk_everyday_english.txt
