Word,Count,Transcription
new,2,small_talk_everyday_english_mono.txt
mark,1,small_talk_everyday_english_mono.txt
is,3,small_talk_everyday_english_mono.txt
job,1,small_talk_everyday_english_mono.txt
i,16,small_talk_everyday_english_mono.txt
complain,1,small_talk_everyday_english_mono.txt
really,9,small_talk_everyday_english_mono.txt
love,3,small_talk_everyday_english_mono.txt
am,3,small_talk_everyday_english_mono.txt
working,2,small_talk_everyday_english_mono.txt
are,1,small_talk_everyday_english_mono.txt
friendly,1,small_talk_everyday_english_mono.txt
helpful,1,small_talk_everyday_english_mono.txt
feel,1,small_talk_everyday_english_mono.txt
boss,1,small_talk_everyday_english_mono.txt
hes,1,small_talk_everyday_english_mono.txt
he,1,small_talk_everyday_english_mono.txt
in,4,small_talk_everyday_english_mono.txt
when,1,small_talk_everyday_english_mono.txt
make,1,small_talk_everyday_english_mono.txt
own,1,small_talk_everyday_english_mono.txt
hours,1,small_talk_everyday_english_mono.txt
leave,1,small_talk_everyday_english_mono.txt
start,1,small_talk_everyday_english_mono.txt
there,1,small_talk_everyday_english_mono.txt
no,1,small_talk_everyday_english_mono.txt
dress,1,small_talk_everyday_english_mono.txt
wear,2,small_talk_everyday_english_mono.txt
jeans,1,small_talk_everyday_english_mono.txt
tshirt,1,small_talk_everyday_english_mono.txt
even,1,small_talk_everyday_english_mono.txt
shorts,1,small_talk_everyday_english_mono.txt
summer,1,small_talk_everyday_english_mono.txt
sounds,1,small_talk_everyday_english_mono.txt
stand,1,small_talk_everyday_english_mono.txt
wearing,1,small_talk_everyday_english_mono.txt
suit,1,small_talk_everyday_english_mono.txt
do,1,small_talk_everyday_english_mono.txt
late,1,small_talk_everyday_english_mono.txt
finishing,2,small_talk_everyday_english_mono.txt
getting,1,small_talk_everyday_english_mono.txt
run,1,small_talk_everyday_english_mono.txt
theres,1,small_talk_everyday_english_mono.txt
like,1,small_talk_everyday_english_mono.txt
watching,1,small_talk_everyday_english_mono.txt
drinking,1,small_talk_everyday_english_mono.txt
sleeping,1,small_talk_everyday_english_mono.txt
